"Date","Price","Open","High","Low","Vol.","Change %"
"06/05/2025","98.800","98.757","98.825","98.645","2.13K","0.07%"
"06/04/2025","98.730","99.115","99.335","98.615","23.21K","-0.43%"
"06/03/2025","99.159","98.540","99.270","98.520","17.62K","0.53%"
"06/02/2025","98.635","99.305","99.355","98.540","18.88K","-0.63%"
"05/30/2025","99.259","99.195","99.605","99.065","22.25K","0.05%"
"05/29/2025","99.209","100.300","100.415","99.145","29.94K","-0.58%"
"05/28/2025","99.785","99.450","99.870","99.350","19.36K","0.36%"
"05/27/2025","99.425","98.860","99.530","98.680","21.62K","0.42%"
"05/26/2025","99.010","98.950","99.070","98.590","10.86K","0.00%"
"05/23/2025","99.010","99.805","99.840","98.935","27.83K","-0.84%"
"05/22/2025","99.849","99.500","100.025","99.330","20.77K","0.42%"
"05/21/2025","99.435","99.845","99.845","99.195","20.60K","-0.54%"
"05/20/2025","99.977","100.290","100.450","99.870","18.47K","-0.31%"
"05/19/2025","100.288","100.750","100.755","99.925","18.29K","-0.65%"
"05/16/2025","100.946","100.630","101.120","100.375","13.79K","0.22%"
"05/15/2025","100.729","100.860","100.900","100.445","14.91K","-0.14%"
"05/14/2025","100.873","100.810","100.980","100.105","20.24K","0.05%"
"05/13/2025","100.826","101.580","101.580","100.735","15.74K","-0.76%"
"05/12/2025","101.599","100.620","101.815","100.360","38.96K","1.43%"
"05/09/2025","100.168","100.490","100.710","99.925","15.32K","-0.32%"
"05/08/2025","100.490","99.725","100.600","99.445","29.42K","1.06%"
"05/07/2025","99.435","99.310","99.800","99.100","16.87K","0.39%"
"05/06/2025","99.047","99.640","99.915","98.985","21.21K","-0.60%"
"05/05/2025","99.640","99.865","99.870","99.275","16.42K","-0.20%"
